classification_type,glcm_feature,additional_feature,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,max_no_of_rois
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,gini,5,sqrt,20,2,50,30
cancer_invasion,correlation,average_best_absolute_distance_results,gini,5,sqrt,20,2,10,30
cancer_stage,correlation,average_best_absolute_distance_results,entropy,5,sqrt,1,2,500,30
early_vs_late_stage,correlation,average_best_absolute_distance_results,gini,5,sqrt,20,2,50,30
ptc_vs_mibc,correlation,average_best_absolute_distance_results,gini,5,sqrt,50,2,500,30
cancer_invasion,correlation,average_generation_absolute_distance_results,gini,5,sqrt,1,10,50,30
cancer_stage,correlation,average_generation_absolute_distance_results,entropy,10,sqrt,1,10,200,30
early_vs_late_stage,correlation,average_generation_absolute_distance_results,gini,5,sqrt,20,2,500,30
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,gini,5,sqrt,50,2,10,30
cancer_invasion,correlation,average_mean_absolute_distance_results,gini,5,sqrt,50,2,200,30
cancer_stage,correlation,average_mean_absolute_distance_results,entropy,5,sqrt,1,10,100,30
early_vs_late_stage,correlation,average_mean_absolute_distance_results,gini,5,sqrt,20,2,500,30
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,gini,5,sqrt,5,2,100,30
cancer_invasion,energy,average_best_absolute_distance_results,gini,5,sqrt,10,2,25,30
cancer_stage,energy,average_best_absolute_distance_results,entropy,10,sqrt,1,5,25,30
early_vs_late_stage,energy,average_best_absolute_distance_results,gini,5,sqrt,20,2,100,30
ptc_vs_mibc,energy,average_best_absolute_distance_results,gini,10,sqrt,1,5,50,30
cancer_invasion,energy,average_generation_absolute_distance_results,gini,10,sqrt,1,5,100,30
cancer_stage,energy,average_generation_absolute_distance_results,gini,5,sqrt,1,5,10,30
early_vs_late_stage,energy,average_generation_absolute_distance_results,gini,5,sqrt,20,2,10,30
ptc_vs_mibc,energy,average_generation_absolute_distance_results,entropy,5,sqrt,1,10,25,30
cancer_invasion,energy,average_mean_absolute_distance_results,entropy,5,sqrt,5,20,200,30
