classification_type,glcm_feature,additional_feature,metric,n_neighbors,p,weights,max_no_of_rois
cancer_invasion,contrast,average_best_absolute_distance_results,euclidean,10,1,uniform,30
cancer_stage,contrast,average_best_absolute_distance_results,euclidean,19,1,uniform,30
early_vs_late_stage,contrast,average_best_absolute_distance_results,euclidean,3,1,distance,30
ptc_vs_mibc,contrast,average_best_absolute_distance_results,euclidean,26,1,uniform,30
cancer_invasion,contrast,average_generation_absolute_distance_results,euclidean,2,1,distance,30
cancer_stage,contrast,average_generation_absolute_distance_results,euclidean,5,1,uniform,30
early_vs_late_stage,contrast,average_generation_absolute_distance_results,euclidean,6,1,uniform,30
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,euclidean,18,1,uniform,30
cancer_invasion,contrast,average_mean_absolute_distance_results,euclidean,2,1,distance,30
cancer_stage,contrast,average_mean_absolute_distance_results,euclidean,10,1,distance,30
early_vs_late_stage,contrast,average_mean_absolute_distance_results,euclidean,4,1,uniform,30
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,euclidean,8,1,uniform,30
cancer_invasion,contrast,,euclidean,4,1,uniform,40
cancer_stage,contrast,,manhattan,5,1,distance,40
early_vs_late_stage,contrast,,euclidean,5,1,distance,40
ptc_vs_mibc,contrast,,euclidean,2,1,uniform,40
cancer_invasion,contrast,average_best_absolute_distance_results,euclidean,6,1,uniform,40
cancer_stage,contrast,average_best_absolute_distance_results,euclidean,19,1,uniform,40
early_vs_late_stage,contrast,average_best_absolute_distance_results,euclidean,11,1,distance,40
ptc_vs_mibc,contrast,average_best_absolute_distance_results,euclidean,17,1,uniform,40
cancer_invasion,contrast,average_generation_absolute_distance_results,euclidean,10,1,uniform,40
cancer_stage,contrast,average_generation_absolute_distance_results,euclidean,21,1,uniform,40
early_vs_late_stage,contrast,average_generation_absolute_distance_results,euclidean,8,1,uniform,40
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,euclidean,11,1,uniform,40
cancer_invasion,contrast,average_mean_absolute_distance_results,euclidean,10,1,uniform,40
cancer_stage,contrast,average_mean_absolute_distance_results,euclidean,3,1,uniform,40
early_vs_late_stage,contrast,average_mean_absolute_distance_results,euclidean,3,1,uniform,40
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,euclidean,3,1,uniform,40
cancer_invasion,contrast,,euclidean,4,1,uniform,50
cancer_stage,contrast,,manhattan,5,1,distance,50
early_vs_late_stage,contrast,,euclidean,5,1,distance,50
ptc_vs_mibc,contrast,,euclidean,2,1,uniform,50
cancer_invasion,contrast,average_best_absolute_distance_results,euclidean,13,1,uniform,50
cancer_stage,contrast,average_best_absolute_distance_results,euclidean,3,1,distance,50
early_vs_late_stage,contrast,average_best_absolute_distance_results,euclidean,3,1,uniform,50
ptc_vs_mibc,contrast,average_best_absolute_distance_results,euclidean,24,1,uniform,50
cancer_invasion,contrast,average_generation_absolute_distance_results,euclidean,7,1,uniform,50
cancer_stage,contrast,average_generation_absolute_distance_results,euclidean,5,1,uniform,50
early_vs_late_stage,contrast,average_generation_absolute_distance_results,euclidean,2,1,distance,50
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,euclidean,3,1,uniform,50
cancer_invasion,contrast,average_mean_absolute_distance_results,euclidean,2,1,uniform,50
cancer_stage,contrast,average_mean_absolute_distance_results,euclidean,3,1,distance,50
early_vs_late_stage,contrast,average_mean_absolute_distance_results,euclidean,2,1,distance,50
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,euclidean,3,1,distance,50
