,angle,distance,homogeneity
15,4.71238898038469,1,[0.72691639]
16,4.71238898038469,2,[0.669062]
17,4.71238898038469,3,[0.66946838]
18,4.71238898038469,4,[0.66797774]
19,4.71238898038469,5,[0.66249975]
0,0.0,1,[0.62805722]
1,0.0,2,[0.56231801]
2,0.0,3,[0.55951967]
3,0.0,4,[0.56554779]
4,0.0,5,[0.5659806]
5,0.7853981633974483,1,[0.64426273]
6,0.7853981633974483,2,[0.64426273]
7,0.7853981633974483,3,[0.58762509]
8,0.7853981633974483,4,[0.57030228]
9,0.7853981633974483,5,[0.56448933]
10,1.5707963267948966,1,[0.63951341]
11,1.5707963267948966,2,[0.54821473]
12,1.5707963267948966,3,[0.54042381]
13,1.5707963267948966,4,[0.53781096]
14,1.5707963267948966,5,[0.53873685]
15,4.71238898038469,1,[0.63951341]
16,4.71238898038469,2,[0.54821473]
17,4.71238898038469,3,[0.54042381]
18,4.71238898038469,4,[0.53781096]
19,4.71238898038469,5,[0.53873685]
0,0.0,1,[0.69928324]
1,0.0,2,[0.56849722]
2,0.0,3,[0.5178784]
3,0.0,4,[0.47188558]
4,0.0,5,[0.42770952]
5,0.7853981633974483,1,[0.62002484]
6,0.7853981633974483,2,[0.62002484]
7,0.7853981633974483,3,[0.51113186]
8,0.7853981633974483,4,[0.45835253]
9,0.7853981633974483,5,[0.41921285]
10,1.5707963267948966,1,[0.65518034]
11,1.5707963267948966,2,[0.53017945]
12,1.5707963267948966,3,[0.50201106]
13,1.5707963267948966,4,[0.45769222]
14,1.5707963267948966,5,[0.44982815]
15,4.71238898038469,1,[0.65518034]
16,4.71238898038469,2,[0.53017945]
17,4.71238898038469,3,[0.50201106]
18,4.71238898038469,4,[0.45769222]
19,4.71238898038469,5,[0.44982815]
0,0.0,1,[0.94603265]
1,0.0,2,[0.91780217]
2,0.0,3,[0.90960125]
3,0.0,4,[0.90604377]
4,0.0,5,[0.90510882]
5,0.7853981633974483,1,[0.95935975]
6,0.7853981633974483,2,[0.95935975]
7,0.7853981633974483,3,[0.93628915]
8,0.7853981633974483,4,[0.91901053]
9,0.7853981633974483,5,[0.9032227]
10,1.5707963267948966,1,[0.9472199]
11,1.5707963267948966,2,[0.92070396]
12,1.5707963267948966,3,[0.91266375]
13,1.5707963267948966,4,[0.91151252]
14,1.5707963267948966,5,[0.90824652]
15,4.71238898038469,1,[0.9472199]
16,4.71238898038469,2,[0.92070396]
