,angle,distance,energy
0,0.0,1,[0.15104472]
1,0.0,2,[0.12934146]
2,0.0,3,[0.12074333]
3,0.0,4,[0.11271724]
4,0.0,5,[0.1114554]
5,0.7853981633974483,1,[0.12608811]
6,0.7853981633974483,2,[0.12608811]
7,0.7853981633974483,3,[0.11534111]
8,0.7853981633974483,4,[0.10654006]
9,0.7853981633974483,5,[0.1080302]
10,1.5707963267948966,1,[0.13636994]
11,1.5707963267948966,2,[0.12287252]
12,1.5707963267948966,3,[0.1208406]
13,1.5707963267948966,4,[0.11738987]
14,1.5707963267948966,5,[0.11364398]
15,4.71238898038469,1,[0.13636994]
16,4.71238898038469,2,[0.12287252]
17,4.71238898038469,3,[0.1208406]
18,4.71238898038469,4,[0.11738987]
19,4.71238898038469,5,[0.11364398]
0,0.0,1,[0.50189977]
1,0.0,2,[0.49693988]
2,0.0,3,[0.49275268]
3,0.0,4,[0.48853053]
4,0.0,5,[0.48380461]
5,0.7853981633974483,1,[0.51486725]
6,0.7853981633974483,2,[0.51486725]
7,0.7853981633974483,3,[0.4913779]
8,0.7853981633974483,4,[0.48190289]
9,0.7853981633974483,5,[0.47600808]
10,1.5707963267948966,1,[0.50893304]
11,1.5707963267948966,2,[0.49420401]
12,1.5707963267948966,3,[0.49169114]
13,1.5707963267948966,4,[0.48822243]
14,1.5707963267948966,5,[0.48419881]
15,4.71238898038469,1,[0.50893304]
16,4.71238898038469,2,[0.49420401]
17,4.71238898038469,3,[0.49169114]
18,4.71238898038469,4,[0.48822243]
19,4.71238898038469,5,[0.48419881]
0,0.0,1,[0.59187665]
1,0.0,2,[0.5955469]
2,0.0,3,[0.58978861]
3,0.0,4,[0.58714282]
4,0.0,5,[0.58758193]
5,0.7853981633974483,1,[0.60348666]
6,0.7853981633974483,2,[0.60348666]
7,0.7853981633974483,3,[0.59141471]
8,0.7853981633974483,4,[0.59099613]
9,0.7853981633974483,5,[0.59021003]
10,1.5707963267948966,1,[0.62271088]
11,1.5707963267948966,2,[0.58940942]
12,1.5707963267948966,3,[0.58816802]
13,1.5707963267948966,4,[0.58920787]
14,1.5707963267948966,5,[0.58784433]
15,4.71238898038469,1,[0.62271088]
16,4.71238898038469,2,[0.58940942]
17,4.71238898038469,3,[0.58816802]
18,4.71238898038469,4,[0.58920787]
19,4.71238898038469,5,[0.58784433]
0,0.0,1,[0.23609463]
1,0.0,2,[0.19679272]
2,0.0,3,[0.1796729]
3,0.0,4,[0.17083205]
4,0.0,5,[0.16490488]
5,0.7853981633974483,1,[0.21400194]
6,0.7853981633974483,2,[0.21400194]
7,0.7853981633974483,3,[0.18022016]
8,0.7853981633974483,4,[0.16829781]
9,0.7853981633974483,5,[0.16159673]
10,1.5707963267948966,1,[0.23423998]
11,1.5707963267948966,2,[0.18832936]
12,1.5707963267948966,3,[0.16846503]
13,1.5707963267948966,4,[0.15873901]
14,1.5707963267948966,5,[0.15207273]
15,4.71238898038469,1,[0.23423998]
16,4.71238898038469,2,[0.18832936]
